id,title,subtitle,level,links,quadrant,summary,descriptions,time_min,titles,titre,auteur,duree_secondes,duree_hh_mm_ss,type,hash_id,url_bis
9e7fc69ba4079bd65decf67d41800a50,education,ecroulement du syteme educatif,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"La personne parle d'une promenade dans un beau parc à Laguna, en Thaïlande. Elle mentionne avoir regardé des anciennes vidéos où ils étaient critiqués à la télévision sur un talk-show tardif en raison de leurs convictions dans la cryptomonnaie Bitcoin et l'éducation alternative.","Parc à Laguna en Thaïlande, Vidéos anciennes, Télévision et critique de l'éducation, Voyage dans le monde, Bitcoin et future décentralisé, Mémorisation des livres obsolète, Technologie blockchain et IA, Éducation des enfants, Chat GPT, Cryptomonnaies et Bitcoin, Écoles actuelles vs éducation future, Enseignement des enfants, Intelligence artificielle, Réforme scolaire, Importance de l'éducation, Évolution rapide du monde, Blockchain et cryptomonnaies, Communication entre machines",13,"""Promenade à Laguna: Critiques télévisées sur Bitcoin et éducation alternative""","EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,751.0,00:12:31,vidéo,bc6a670c772b09a4c3c6d8f940c63a4713637cc0ef24dc1976f5ed0718992d4f,
32ef598679b8b3550b9c352ad898c564,education,attrait des modeles alternatifs,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"Le texte parle d'une personne se promenant dans un beau parc à Laguna, en Thaïlande, et regardant des vidéos anciennes où ils sont apparus dans une émission de télévision tardive. L'émission critiquait leur éducation et leur histoire d'aventure de voyage dans le monde, axée sur la croyance en Bitcoin et un avenir décentralisé de l'éducation.","Parc, Vidéos, Éducation, Voyage, Bitcoin, Décentralisation, Intelligence artificielle, Blockchain, GPT, Écoles, Mémorisation, Technologies, Enseignement à domicile, Apprentissage non structuré, Compétences sociales, Cryptomonnaies, Réforme scolaire, Réseaux sociaux, Changements dans l'éducation, Rapidité de l'évolution du monde, Communication machine à machine, Paiements automatisés",13,"""Exploration des souvenirs télévisuels et des rêves de décentralisation à Laguna, Thaïlande""","EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,751.0,00:12:31,vidéo,c6e5db867d38a645bb1c2415b6bbe987a5cbafec9d09c6e30653903a2066c2e9,
e789193aca3888f4585c112888fad003,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=0dWf_iteNEk&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=19,comment j'utilise bitcoin,"La vidéo aborde les diverses options pour acheter des bitcoins en fonction des différences individuelles telles que l'âge, le revenu et le lieu de résidence des spectateurs. L'importance de choisir la meilleure option adaptée à chacun est soulignée, avec une mise en garde sur les risques potentiels liés à l'investissement dans les bitcoins.","Introduction aux bitcoins, Risques et avertissements sur les investissements en bitcoins, Nécessité de connaître les risques avant d'investir, Absence de garanties sur la valeur du bitcoin, Mise en garde contre l'investissement excessif, Importance d'avoir une stratégie d'investissement, Mise en garde contre la volatilité du bitcoin, Encouragement à se renseigner davantage sur le bitcoin, Recommandation de travailler pour obtenir des bitcoins, Absence de solution miracle pour investir en bitcoins, Responsabilité personnelle dans les investissements, Méthodes d",NAN,"""Guide d'achat de bitcoins: Adaptation personnalisée et mise en garde sur les risques""",Où et comment acheter des Bitcoins en 2021 - chapitre 5 [BTC 102],Découvre Bitcoin,557.0,00:09:17,vidéo,e4c0b2ca6e34f1103c4ff0fc64c705e1a6b8a7846e6cf68c0c2067a315bf92dd,
161952cbab08a3c41d8b6cc4a6b70144,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=YLyKHG-rAhY&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=22,comment j'utilise bitcoin,"La vidéo discute d'une stratégie d'achat de Bitcoin appelée ""bayer de deep"". Elle met en garde sur les risques du trading de Bitcoin, soulignant que c'est un actif spéculatif. L'importance de prendre ses propres décisions et de mener sa propre recherche est soulignée.","Stratégie d'achat pour Bitcoin : Bayer de Deep, Achat progressif vs. Achat en cas de crash, Stratégie ""Buy the Dip"" (Acheter la baisse), Acheter lors de retracements de 10-30%, Vision à long terme, Stratégie d'entrée sur le marché, Réserves pour opportunités de crash, Réflexion sur les achats en fonction des baisses de prix, Approche d'achat en fonction des corrections du marché, Utilisation d'alarmes pour surveiller les prix",NAN,"""Acheter de manière réfléchie : Comprendre les risques du trading de Bitcoin""","Stratégie Bitcoin : BUY THE DIP ! dans un ""bull market"" (marché haussier)",Découvre Bitcoin,350.0,00:05:50,vidéo,6758f2ff38b7d5d24eee011a54025e61cb58eb49dc04861e00a77fdc13cd572f,
7d8f5c7e9180d10d9b48d649fc0bc780,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=YkvyUrOxI9Y&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=20,comment j'utilise bitcoin,"Le texte aborde le concept financier du dollar cost averaging, qui consiste à répartir un investissement en plusieurs paiements étalés dans le temps plutôt que de tout investir en une seule fois.","Dollar Cost Averaging, Stratégie d'investissement, Volatilité du Bitcoin, Accumulation de Bitcoins, Épargne à long terme, Achats échelonnés, Gestion des émotions, Investissement progressif, Plan financier personnel, Objectif financier, Plateformes d'achat de cryptomonnaies",NAN,"""Dollar Cost Averaging: L'art de l'investissement progressif""",Stratégie Bitcoin - Acheter 10 € par semaine ?!,Découvre Bitcoin,349.0,00:05:49,vidéo,a68988f5e14092cd721f3be48ba50484c456922cf848bf8f3ba404f7e2b59365,
389e0d3d9fe28ee2ea436ee2e198b413,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=mpT3kJDfRVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=21,comment j'utilise bitcoin,Roxy et Mathilde discutent de l'achat de bitcoins. Mathilde souhaite en acheter mais ne sait pas comment s'y prendre. Roxy l'aide en mettant en place un plan qui implique la création d'un compte chez Stackingsat pour acheter des bitcoins régulièrement.,"Achat de bitcoins, Création de compte chez StackingSat, Sécurisation des bitcoins, Stratégie d'achat périodique, Green Wallet, Clé privée et sécurité, Création de portefeuille, Utilisation de Green Wallet, Gestion du pin personnel",NAN,"""Guide pour Acheter des Bitcoins avec Stackingsat""","Création plan d'épargne Bitcoin - 50€/mois, tuto avec une débutante - [Tutoriel]",Découvre Bitcoin,811.0,00:13:31,vidéo,ebc7ed3b4c1e53c9d9c052310fc83ef97cdf9aa1ffc6cb70293578b917bf6838,
e8a4c5c3b41306b13da676d9aee92f97,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=JVizZzRmJf8,comment j'utilise bitcoin,"Pour acheter des crypto-monnaies en quelques clics, accédez à l'onglet ""Comptes en euros"" depuis votre tableau de bord. Assurez-vous que votre compte de trading est approvisionné, puis cliquez sur ""Acheter ou Vendre"" ou sélectionnez ""Échanger"" dans le menu de gauche. Choisissez les devises de votre choix, saisissez le montant à acheter ou vendre, puis vérifiez les détails de l'opération en temps réel sur votre écran. Vous pouvez également utiliser le curseur pour sélectionner un pourcentage de votre solde disponible. Enfin, validez en glissant.","Acheter des crypto-monnaies, Tableau de bord, Comptes en euros, Acheter ou vendre / Échanger, Sélectionner des devises, Montant, Opération en temps réel, Curseur, Valider l'achat, Historique des transactions, Détails et exportation, Crédité sur le portefeuille Paymium",2,"""Acheter des Cryptomonnaies Facilement: Guide Étape par Étape""",Comment acheter vos crypto-monnaies en quelques clics ?,Paymium,102.0,00:01:42,vidéo,8dea641cd4a14d130067c5abe1dd7daa54ccef862c9636f448592fc2378f7d3d,
d737c02a1d125996e28aaf4f6abaa8fd,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=8g9aGQ53T_A&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=23,comment j'utilise bitcoin,"Le texte parle de la mise en place d'un compte sur la plateforme d'achat et de vente de bitcoins Stand 807. Cette plateforme est adaptée pour des transactions de gros montants, n'acceptant pas les petites sommes. Il mentionne également d'autres plateformes telles que Crackle Jimmy.","Création de compte sur une plateforme d'achat et de vente de bitcoin, Utilisation d'un gestionnaire de mots de passe, Sécurisation des informations personnelles, Processus de vérification ""Know Your Customer"", Risques liés à la sécurité des données personnelles, Vérification d'identité avec pièce d'identité, Reconnaissance faciale pour une étape supplémentaire de vérification, Authentification à deux facteurs pour sécuriser le compte",NAN,"""Comptes de gros montants sur Stand 807 et Crackle Jimmy : plateformes de bitcoin de premier plan""",Tutoriel Bitstamp complet - (Achat-Vente de bitcoin + retrait),Découvre Bitcoin,1121.0,00:18:41,vidéo,08883096cfa389b1512d295b15edcf546119f57b43889890ca4a4d0a05d6c6b7,
8fbec7650c3c5fd808b1c88943e763cc,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=OxdgmDxOMRY&t=319s,comment j'utilise bitcoin,"Apple envisage d'accepter Bitcoin sur Apple Pay à l'avenir mais n'a pas de plans immédiats à ce sujet. Ils ne prévoient pas d'investir leur trésorerie dans la cryptomonnaie, arguant que les investisseurs achètent des actions Apple pour une exposition différente.","Accepting Bitcoin on Apple Pay, CEO Tim Apple's comments on cryptocurrency, Diversified portfolio, Citadel Dispatch show, Bitcoin, distributed systems, privacy, open source software, Support from the audience, Bitcoin Q&A, Buying Bitcoin, Exchanges and KYC regulations",NAN,"""Apple envisage d'accepter Bitcoin sur Apple Pay à l'avenir""",Citadel Dispatch E43: bitcoin for beginners with @BitcoinQ A,Citadel Dispatch,8157.0,02:15:57,vidéo,eabd5212aa49cb0ff0cb31e4ff49c8d51b39c9701a742368aad3a645e632da8c,
9b5811d298593f144b8cfb3da4c20641,acheter du btc,1. vue d'ensemble,1,https://unchained.com/blog/ways-to-buy-bitcoin/,comment j'utilise bitcoin,"Comparaison des meilleures façons d'acheter du bitcoin : échanges, P2P, guichets automatiques, et plus encore.","Façons d'acheter du bitcoin : échanges, P2P, guichets automatiques, et plus, Plateformes d'échange de cryptomonnaies, Courtiers en cryptomonnaies, Applications de paiement, Bureaux de trading de gré à gré, Plateformes de trading peer-to-peer, Distributeurs automatiques de bitcoin, Bons d'achat bitcoin, Bitcoin par procuration, Avantages et inconvénients des échanges de cryptomonnaies, Frais et limites, Confidentialité, Sécurité et garde, Règles AML/KYC, Risques li",,"""Guide d'achat de Bitcoin : Comparaison des Méthodes - Échanges, P2P, Guichets Automatiques et Plus",,,,,,,
0b3650d0e294bf62972b57150b02b958,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://butanuki.com/,comment j'utilise bitcoin,Butanuki est temporairement indisponible en raison de changements de réglementations indépendants de leur volonté. Ils s'excusent pour la gêne et recommandent d'utiliser Pocket en attendant.,"Butanuki, Indisponible, Changements de réglementations, Fermeture de service, Excuses, Réouverture, Recommandation de Pocket, Twitter: @Butanuki21, Telegram: t.me/Butanuki, Contact, Français, English, Butanuki.com",0,"""Annonce: Indisponibilité temporaire de Butanuki - Utilisez Pocket en attendant""",,,,,,,
d8c6f8b12d845ee92531904cadc571ae,acheter du btc,3. acheter du btc sur un exchange,1,https://armantheparman.com/howtobuybitcoin2/,comment j'utilise bitcoin,"Le texte discute de l'achat de Bitcoin en utilisant l'exemple de la plateforme Bitaroo Exchange. Il présente des guides et des explications sur le Bitcoin, mettant en avant des concepts tels que la séparation de l'argent et de l'État, les problèmes monétaires, la valeur réelle du Bitcoin et le fonctionnement des prix du Bitcoin.","Comment acheter du Bitcoin, Utilisation de l'échange Bitaroo comme exemple, Méthodes pour obtenir du Bitcoin, Acheter du Bitcoin depuis un échange, Processus d'achat sur Bitaroo, Créer un compte sur Bitaroo, Vérifier votre identité, Effectuer un dépôt en AUD depuis votre banque",8,"""Achat de Bitcoin: Guide sur Bitaroo Exchange et la valeur du Bitcoin""",,,,,,,
0283cb1d384601c7ad78e554bfbd4021,acheter du btc,4. solutions d'achat en pair-a-pair et achat en liquide,1,https://btctouchpoint.com/fr/ressources/solutions-pratico-pratiques/#rencontrer,comment j'utilise bitcoin,"Le texte aborde des sujets liés à Bitcoin, notamment son utilisation pratique, son impact sur la société et la culture, ainsi que les ressources disponibles comme des podcasts, des articles, des mèmes et des livres.","Solutions pratico-pratiques, Bitcoin meet-ups, Commerces, Exchanges, Outils, Ambassadeurs Bitcoin, Twentyone World, BTC Map, Paymium, StackinSat, Binance, Coinbase, Kraken, Solutions KYC, Solutions sans KYC",11,"""Exploration de Bitcoin : Impact, Culture et Ressources""",,,,,,,
36a8bc22cd46ea468dae56054d64df7c,acheter du btc,4. solutions d'achat en pair-a-pair et achat en liquide,1,https://agora256.com/acheter-du-bitcoin-sans-kyc-au-canada-avec-bull-bitcoin/,comment j'utilise bitcoin,Acheter du Bitcoin sans KYC au Canada avec Bull Bitcoin en utilisant des comptoirs Poste Canada pour échanger des espèces contre des bitcoins sans identification.,"Bitcoin, KYC, Acheter sans KYC, Bull Bitcoin, Canada Post, Comptoirs Postes Canada, Paiement en comptant ou par carte, Frais, Limites transactionnelles, Portefeuille Bitcoin, Lightning Network, Liquid Network, LNURL, Bolt11",7,"""Acheter du Bitcoin sans KYC au Canada avec Bull Bitcoin via les comptoirs Poste Canada""",,,,,,,
d95393bc2656e3889780c61320e40aaa,acheter du btc,"5. trouver un distributeur, des cartes cadeaux",1,https://azte.co/#about,comment j'utilise bitcoin,"Azteco propose des bons d'achat Bitcoin pour chaque aspect de la vie quotidienne. Les utilisateurs peuvent acheter des bons Azteco et les échanger contre des bitcoins. Découvrez comment des personnes à travers le monde intègrent le bitcoin dans leur vie quotidienne, comme Tania au Costa Rica et Kgothatso en Afrique du Sud.","Azteco bitcoin vouchers, Utilisation du bitcoin dans la vie quotidienne, Tania au Costa Rica et Kgothatso en Afrique du Sud utilisent le bitcoin, Giovanni au Brésil est payé en bitcoin, Fonctionnement des vouchers Azteco, Achat et utilisation des vouchers, Façons de racheter un voucher Azteco, Avantages des vouchers Azteco pour obtenir du bitcoin",,"""Intégrer le Bitcoin dans la vie quotidienne : Témoignages du Costa Rica et de l'Afrique du Sud""",,,,,,,
ab0e63ad8542fc5f5e9ae3b115d55a2a,acheter du btc,"5. trouver un distributeur, des cartes cadeaux",1,https://btcmap.org/map,comment j'utilise bitcoin,"Le texte parle de BTC Map, un outil de cartographie.","Carte BTC, Objectif, Identification des sujets clés, Concepts clés, Carte chargement, Carte interactive",,"""BTC Map : L'outil de cartographie en vedette""",,,,,,,
11eaafe82e723d7d3d8f12475ed6ba97,preference temporelle,rabaisser notre preference temporelle,1,https://www.youtube.com/watch?v=XcmrCLL7Rtw,comment bitcoin me change,"Walter Mischel, professeur à l'Université de Columbia, étudie depuis 45 à 50 ans le développement de l'auto-contrôle chez les enfants et ses implications tout au long de leur vie. L'auto-contrôle, anciennement appelé volonté, est crucial et a des conséquences majeures, remontant même au péché originel d'Adam et Ève.","Développement de l'auto-contrôle chez les enfants, Test de la guimauve (Marshmallow test), Importance de l'auto-contrôle dans la vie des enfants, Lien entre auto-contrôle et réussite scolaire, Applicabilité de l'auto-contrôle aux adultes, Stratégies pour améliorer l'auto-contrôle, Utilisation de l'auto-contrôle dans l'éducation, Programmes d'éducation comme les Kipp schools, Enseignement de compétences d'auto-contrôle aux enfants vivant dans la pauvreté, Implications pour l'avenir des",4,"""Le Pouvoir de l'Auto-Contrôle: Étude du Professeur Walter Mischel sur le Développement des",Walter Mischel - The Marshmallow Test,The Brainwaves Video Anthology,262.0,00:04:22,vidéo,8c995a6223f0a73a4cc902c563833c368ad7507be79aa64de168f108ac8ccbc5,
4243acafbeb36d51276f93402ff19cc5,contre-culture,2. bitcoin maximalisme,1,https://www.youtube.com/watch?v=IrL_4bsU1I4,comment bitcoin influ culture,"Le texte aborde la théorie maximaliste de Bitcoin, considérant que seule cette crypto-monnaie a de la valeur, excluant ainsi les autres cryptos. Cette approche est controversée dans l'univers des cryptomonnaies, certains la soutenant tandis que d'autres la critiquent.","Maximalisme bitcoin, Valeur de Bitcoin, Intérêt des différentes cryptomonnaies, Investisseurs en crypto, Critiques des maximalistes bitcoin, Arguments des maximalistes bitcoin, Comparaison entre Bitcoin et autres cryptomonnaies, Création et gestion de projets cryptos, Gouvernance de projets cryptos, Investissement dans les cryptomonnaies",19,"""La controverse de la théorie maximaliste de Bitcoin""",La Théorie Maximaliste De Bitcoin 🏆,Jon Black,1138.0,00:18:58,vidéo,858cb4ff86de1879447f6a1bc92bf0afd7a13b0de9b5af7772f9e989d762db23,
ff0f6fa2e10ae3a8a22ead9e4a1e7930,contre-culture,2. bitcoin maximalisme,1,https://www.youtube.com/watch?v=y4ysUro7WtI&t=12s,comment bitcoin influ culture,"Le texte discute du deuxième épisode d'une série sur le bitcoin et son écosystème, se concentrant sur les maximalistes du bitcoin. Ces individus considèrent que rien n'est aussi important que le bitcoin.","Série sur le bitcoin et son écosystème, Bitcoin maximaliste, Mentalité et différences dans l'écosystème, Polémique et dénigrement des autres projets, Caractéristiques des bitcoins maximalistes, Limite de 21 millions de bitcoins, Valeur et standard monétaire, Critiques envers les ""shitcoins"", Raisons et arguments des maximalistes, Défense de son projet, Communauté et investissements",NAN,"""Les Maximalistes du Bitcoin : L'Importance Suprême de la Cryptomonnaie""","Explorons Bitcoin N°2: Les Bitcoiners ""maximalistes""",Découvre Bitcoin,3549.0,00:59:09,vidéo,781c62dbb3786039efa6dc60f4d417150333a493f6674dcb0eb984e780b5c99d,
af71573c7481b27bc2334da75b5265ef,contre-culture,2. bitcoin maximalisme,1,https://www.swanbitcoin.com/ten-million-bitcoiners-the-intransigent-minority/,comment bitcoin influ culture,"""Ten Million Bitcoiners: The Intransigent Minority"" explique que lorsque le nombre de détenteurs de Bitcoin aux États-Unis atteindra dix millions, la victoire de Bitcoin sera inévitable.","Bitcoiners, Minorité intraitable, Nassim Nicholas Taleb, Adoption de Bitcoin, Risques pour Bitcoin, Attaques potentielles, Résilience de Bitcoin, Recrutement de Bitcoiners, Cory Klippsten, Services financiers Bitcoin, Swan.com, Fonds de capital-risque Bitcoiner, Recommandations d'achat de Bitcoin, Effet Cantillon.",5,"""Dix Millions de Bitcoiners: L'Inévitable Victoire de Bitcoin""",,,,,,,
eac62d9406b6d555e6f3e6f687b212ba,experimentations ludiques,"1. bitcoin, lightning et le  gaming",1,https://www.coindesk.com/tech/2021/02/11/these-gaming-studios-are-bringing-bitcoin-payouts-to-everyday-esport-gamers/,comment j'utilise bitcoin,"Des studios de jeu intègrent le Bitcoin dans l'esport, marquant une convergence entre cryptomonnaie et jeux vidéo.","Studios de jeux, Bitcoin, Esports, Crypto-monnaie, Événements, Podcasts, Indices, Prix du Bitcoin, Ethereum, NFTs, Binance, SEC, Politique, Technologie, Contrats intelligents, Protocoles, Finances, DeFi, Infrastructures Web3, Interopérabilité, Événements Consensus, Tokens, Blockchain, Éducation, Altcoins, Trading, Bots de trading, Yield farming, Sharding Ethereum, Gouvernance de tokens, Sujets de crypto, Veille de",,"""Intégration du Bitcoin dans l'esport : La fusion entre cryptomonnaie et jeux vidéo""",,,,,,,
97c2f6427363dc2a23cca845256570e5,experimentations ludiques,"1. bitcoin, lightning et le  gaming",1,https://sites.google.com/nathanday.net/gamertron/,comment j'utilise bitcoin,"Sam Day, âgé de 11 ans, crée des jeux avec Unity et Bitcoin Lightning sur Gamertron. Son nouveau jeu, Sats-Man, est disponible en 8 bits avec un tirage au sort hebdomadaire de 10 000 sats. Il invite les joueurs à découvrir ses créations, telles que Defender et Lander, et à soutenir son travail via les réseaux sociaux.","Gamertron, Sam Day, Unity, Bitcoin Lightning, Sats-Man, 8-bit, Prize-draw, Defender, Lander, Social support, Cookies, Google",,"""Sam Day, 11 ans, crée des jeux avec Unity et Bitcoin Lightning sur Gamertron : Découvrez Sats-Man et ses",,,,,,,
85213deeb388294e4bee4115825f1257,parties prenantes,1. qui gouverne bitcoin ?,1,https://www.youtube.com/watch?v=fcXvjghA-uM&list=PLinTFKehfR4yOM86i_sWI3EwWaI6CSOPm,comment bitcoin change societe,Le texte parle du chapitre 2.2 de des coupesbitcoin qui aborde l'industrie du bitcoin et des cryptomonnaies de manière approfondie. Il est souligné que cette section est longue et nécessitera au moins une vidéo de 20 minutes pour être couverte. L'accent est mis sur la décentralisation de coop bitcoin.,"Bitcoin et les cryptomonnaies, Décentralisation de Bitcoin, Utilisation de Bitcoin, Acteurs de l'industrie (banques, États, développeurs, mineurs, utilisateurs), Portefeuilles et échanges, Infrastructure et Lightning Network, Différences entre Bitcoin et autres cryptomonnaies, Philosophie de Bitcoin, Évolution de Bitcoin et sécurité, Innovation dans l'industrie des cryptomonnaies",NAN,"""Exploration approfondie de l'industrie du bitcoin et des cryptomonnaies: Chapitre 2.2""",L'industrie du Bitcoin - chapitre 2.2 [BTC 102],Découvre Bitcoin,1973.0,00:32:53,vidéo,90f2147886e02c22d4ee6129b5334ab533e0e446ce1eb4e709c7ac8873ee392b,
94df8e971b7ce1c0c32b52cb70dcf7b9,parties prenantes,1. qui gouverne bitcoin ?,1,https://www.youtube.com/watch?v=Zb1dKNH0amM,comment bitcoin change societe,"Bitcoin a été créé par Satoshi Nakamoto, dont l'identité est inconnue, assurant ainsi la décentralisation de la cryptomonnaie. Aucune entité ne contrôle Bitcoin, son évolution dépend des utilisateurs et contributeurs. La décentralisation est cruciale pour l'autonomie et l'évolution de Bitcoin.","Bitcoin, Satoshi Nakamoto, Décentralisation, Résistance à la saisie et à la censure, Aucune entité centrale, Gestion par les utilisateurs et les contributeurs, Absence de gouvernement influençant, Absence de PDG",1,"""Bitcoin: La Décentralisation pour l'Autonomie et l'Évolution""",Mais qui dirige Bitcoin ? - Doodling Bitcoin #2,David St-Onge,77.0,00:01:17,vidéo,d58c846a37c26d90da335965b9b8a0f4cc1d0fb2ef9846e275890bb7b276ebf8,
c3f7ebc8c8a551aa912173445e0c5240,parties prenantes,2. focus sur les  noeuds,1,https://www.youtube.com/watch?v=3vQmDJ4_ooM,comment bitcoin change societe,La leçon 3 aborde l'importance des noeuds dans la technologie Bitcoin. Les noeuds sont cruciaux pour la direction du système.,"Noeuds Bitcoin, Fonctions des noeuds, Copie du registre des transactions, Décentralisation du réseau, Validation des transactions, Anti-fragilité de Bitcoin, Participation au consensus du réseau, Règles du consensus Bitcoin",20,L'importance cruciale des noeuds dans la technologie Bitcoin,Les nœuds - chapitre 3.3 [BTC 101],Découvre Bitcoin,1194.0,00:19:54,vidéo,3b8699e259f95badc8c3afef4c4c2211dc1e02d299d57b55bc7aff441c828b56,
